tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2022745960552837611,timeline,I see Kulture quoting this in 15 years,Sat Feb 14 18:53:12 +0000 2026,866953267,,Cardi B,37093310,False,219557,13667,967,,0,[],False,False
2022634180291760138,timeline,Can someone put a community note on this ? This video is clearly Ai .,Sat Feb 14 11:29:01 +0000 2026,866953267,,Cardi B,37093310,False,369566,21431,4160,,0,[],False,False
2022568200563728847,timeline,I planned this https://t.co/fPx3bSOWcy,Sat Feb 14 07:06:51 +0000 2026,866953267,,Cardi B,37093310,False,158825,12406,1376,,1,"[{""type"": ""animated_gif"", ""url"": ""https://t.co/fPx3bSOWcy""}]",False,False
2022508032610177225,timeline,"RT @TMobileArena: SOLD OUT 💋✨
Vegas understood the assignment!

@iamcardib | #LittleMissDramaTour https://t.co/o7vSzQQU1J",Sat Feb 14 03:07:46 +0000 2026,866953267,,Cardi B,37093310,False,0,466,0,LittleMissDramaTour,1,"[{""type"": ""photo"", ""url"": ""https://t.co/o7vSzQQU1J""}]",False,True
2022452637082509364,timeline,RT @itsKenBarbie: LISTEN TO THE DRAMA 🎵| Both Apple Music and Spotify now have official playlists featuring the setlist for the #LittleMiss…,Fri Feb 13 23:27:38 +0000 2026,866953267,,Cardi B,37093310,False,0,323,0,,0,[],False,True
2022449397985087968,timeline,RT @FUCCl: this is gaggy. https://t.co/0ATnwVTuyq,Fri Feb 13 23:14:46 +0000 2026,866953267,,Cardi B,37093310,False,0,265,0,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/0ATnwVTuyq""}]",False,True
2022414340268396647,timeline,RT @Vegas: It's PRIMETIME @iamcardib #LittleMissDrama,Fri Feb 13 20:55:28 +0000 2026,866953267,,Cardi B,37093310,False,0,342,0,LittleMissDrama,0,[],False,True
2022350465896448482,timeline,"RT @cj_bria: I don’t think yall understand what this transition does to me. Like, I wanna cry! It’s so good! 🥹 https://t.co/rFL1U2JH8W",Fri Feb 13 16:41:39 +0000 2026,866953267,,Cardi B,37093310,False,0,1436,0,,1,"[{""type"": ""video"", ""url"": ""https://t.co/rFL1U2JH8W""}]",False,True
2022059986889978332,timeline,If we talking about drugs let’s talk about Epstein and friends drugging underage girls to rape them. Why yall don’t wanna talk about the Epstein files?,Thu Feb 12 21:27:23 +0000 2026,866953267,,Cardi B,37093310,False,706377,104847,11142,,0,[],False,False
2021959647536754724,timeline,"RT @beyoncegarden: “if ICE come in here we gone JUMP they assess, they ain’t taking MY fans BVTCH🙂‍↔️🙂‍↕️” OH EXACTLY CARDI B LMFAOOO😭😭😭 ht…",Thu Feb 12 14:48:40 +0000 2026,866953267,,Cardi B,37093310,False,0,17756,0,,0,[],False,True
