id,keyword,user,user_name,text,created_at,likes,retweets,replies,source
2024072216661422175,#cancellation,drmhowrah,DRM Howrah,The following trains will be cancelled in between SHE-DEA in TAK branch section due to Power and Traffic block. #Cancellation #EasternRailway #Howrahdivision . https://t.co/nH8Kj9gh7b,Wed Feb 18 10:43:16 +0000 2026,8,0,1,cancellation_search
1937846096094769594,#cancellation,drmsbc,DRM Bengaluru,"#Cancellation of Train
@SWRRLY Updates https://t.co/A32eLnID3C",Wed Jun 25 12:11:27 +0000 2025,7,2,0,cancellation_search
1998231690691453014,#cancellation,VtvGujarati,VTV Gujarati News and Beyond,"Indigo ફ્લાઇટ સંકટ વિશે તમારું શું કહેવું છે?

#indigo #flight #cancellation https://t.co/bKYMET5yca",Tue Dec 09 03:22:15 +0000 2025,8,0,1,cancellation_search
1964029266871361992,#cancellation,annettefranz,"Annette Franz, CCXP","Breaking Up Is Still Hard to Do (But Shouldn’t Be) - CX Journey™ https://t.co/NvjP0eHNVK Let’s call this what it is: deliberate friction, engineered not to serve customers but to squeeze more dollars out of them on the way out. #customerexperience #memberexperience #cancellation https://t.co/GrQUTtTerW",Fri Sep 05 18:14:01 +0000 2025,1,1,0,cancellation_search
2019480794566389794,#cancellation,crybbycl0wn,☆ 𝓙𝓲𝓷𝔁 ☆,My life since the #cancellation,Thu Feb 05 18:38:36 +0000 2026,8,0,3,cancellation_search
2026992608938184769,#cancellation,News9Tweets,News9,"Good news, flyers! #DGCA updates rules for ticket refund during #cancellation: Check details here

https://t.co/fRbMLEb40N",Thu Feb 26 12:07:52 +0000 2026,0,0,0,cancellation_search
1922675773229695328,#cancellation,Thenationth,Thenationthailand,"The Civil Aviation Authority of Thailand (CAAT) has briefed 106 airlines on updated regulations strengthening passenger rights for flight delays and cancellations. #CAAT #airlines #cancellation #delays #aviation #ThailandNews #TheNation
https://t.co/CoM5Uw8w9P",Wed May 14 15:30:00 +0000 2025,1,0,0,cancellation_search
2008805670003359852,#cancellation,Stagecoach_East,Stagecoach East,"#Fenstanton #BuswayA #Cancellation

Due to a technical issue the Busway A service departing St Ives Marley Road at 07:36 has been cancelled. The next available service to Trumpington P&amp;R departs Marley Road at 07:51. We apologise for any inconvenience caused.",Wed Jan 07 07:39:28 +0000 2026,0,1,0,cancellation_search
1968169477167784202,#cancellation,TamilTheHindu,Tamil The Hindu,"கைலாஷ் யாத்திரை ரத்தான விவகாரம்: முன்பதிவு செய்தவருக்கு ரூ.75 ஆயிரம் இழப்பீடு - நுகர்வோர் நீதிமன்றம் உத்தரவு

| #KailashYatra | #Cancellation | #ConsumerCourt |
https://t.co/xEitxUvyBw",Wed Sep 17 04:25:44 +0000 2025,0,0,0,cancellation_search
1985660861965615135,#cancellation,News18Kannada,News18 Kannada,"Cancel Flight Tickets For FREE Within 48 Hours! | 48 ಗಂಟೆಯೊಳಗೆ ಟಿಕೆಟ್ ಕ್ಯಾನ್ಸಲ್ ಫ್ರೀ; ನಾಗರಿಕ ವಿಮಾನಯಾನ ಮಹಾ ನಿರ್ದೇಶನಾಲಯದಿಂದ ಹೊಸ ನಿಯಮ!
#flightticket #cancellation #airlines #News18Kannada https://t.co/HXUnzNOBDB",Tue Nov 04 10:50:15 +0000 2025,0,0,0,cancellation_search
1922604399534166370,#cancellation,News9Tweets,News9,"Man bashes #IndiGo for charging Rs 8,111 after flight #cancellation; airline responds

https://t.co/SPtElaGMG7",Wed May 14 10:46:23 +0000 2025,1,1,0,cancellation_search
1997585557392888061,#cancellation,drmned,Nanded Division,"#CANCELLATION#

The following TOD Special Trains are cancelled due to operational constraints:
1️⃣ Train No. 07167 (Hyderabad – Hadapsar)
📅 Journey Date: 07-12-2025 (Sunday)
❌ Cancelled
2️⃣ Train No. 07168 (Hadapsar – Hyderabad)
📅 Journey Date: 08-12-2025 (Monday)
❌ Cancelled",Sun Dec 07 08:34:44 +0000 2025,3,0,0,cancellation_search
1992166580214718724,#cancellation,NEWS7Odia,Prameya News7,"ଯାତ୍ରୀମାନେ ଦୟାକରି ଧ୍ୟାନ ଦିଅନ୍ତୁ....ନା ହୋଇପାରିବ ଟିକେଟ୍ ବୁକିଂ ନା ହେବ କ୍ୟାନସଲ https://t.co/PRGhCoRCqx 
#PrameyaNews7 #indianrailways2025 #cancellation #reservations",Sat Nov 22 09:41:40 +0000 2025,1,0,0,cancellation_search
1963965467950711289,#cancellation,annettefranz,"Annette Franz, CCXP","Breaking Up Is Still Hard to Do (But Shouldn’t Be) https://t.co/NvjP0eHNVK Handled poorly, that last impression (#cancellation) becomes a lasting one that damages your #brand. Handled with respect, u create the possibility of return, referral, and goodwill. #customerexperience https://t.co/TNYwm39fq8",Fri Sep 05 14:00:30 +0000 2025,0,0,0,cancellation_search
1996837064529285155,#cancellation,ZeeBusiness,Zee Business,"IndiGo की उड़ानों पर आज भी बड़ा असर 

रात 12 बजे तक दिल्ली और मुंबई से सारी फ्लाइट्स रद्द 

पिछले 36 घंटे में 1000 से ज्यादा कैंसिलेशन 

क्या है पूरी खबर जानिए @pandeyambarish से 

#IndiGo #Flights #Cancellation #Delhi #Mumbai https://t.co/nEJ4gXaqsQ",Fri Dec 05 07:00:30 +0000 2025,17,2,0,cancellation_search
1997954914316931320,#cancellation,CNBCBajar,CNBC Bajar,"ઈન્ડિગોની ફ્લાઈટ્સના સંકટ વચ્ચે પશ્ચિમ રેલવેનું મોટું પગલું, મુસાફરો માટે શરુ કરી ટ્રેન

#indigoflights #cancellation #train #westernrailways #gujaratinews #passangers https://t.co/cjoUHcnbQ8",Mon Dec 08 09:02:26 +0000 2025,0,0,0,cancellation_search
2030375038235332631,cancelled after,ToonHive,ToonHive,"Pixar reportedly scrapped an original film titled ‘Be Fri’ after three years in development before it was cancelled.

• The film followed two girl best friends going through a platonic breakup.

• One of the girls had a connection to fantastical characters described as “Sailor https://t.co/7XQiuiHRpI",Sat Mar 07 20:08:26 +0000 2026,1072,122,15,cancellation_search
2026668682852946236,cancelled after,leeminoot,lei 🩵 (첫콘),how does glambot dude still have a job after he was rightfully cancelled,Wed Feb 25 14:40:42 +0000 2026,1202,20,10,cancellation_search
2030319468656853175,cancelled after,HelloKiranKhan,Kiran Khan,"✈️ Pakistan Shaheens have finally departed for home. After the ODI series against England Lions was cancelled and flight schedules were disrupted the squad had been stuck in Abu Dhabi. The team has now left for Lahore on an Emirates flight.
#PakistanCricket",Sat Mar 07 16:27:37 +0000 2026,4,0,0,cancellation_search
2028411129916244227,cancelled after,AviationAll_,AviationAll,"@JoachimSaldanha Yes, these got cancelled a few hours after I posted.",Mon Mar 02 10:04:34 +0000 2026,0,0,0,cancellation_search
2028269052599419082,cancelled after,thematrixb0t,matrixbot,Show called “Disjointed” was cancelled soon after this scene was broadcast. https://t.co/XwtBSoAJHf,Mon Mar 02 00:40:00 +0000 2026,8658,1682,63,cancellation_search
2029661276062838823,cancelled after,Chiefhassa10463,Chief Hassan' Draw Lord,"Betting is unfair sometimes, the goal they cancelled before halftime is Scored few mins after Second half kicks off🙌🙌 https://t.co/s3Mqp6a9wL",Thu Mar 05 20:52:12 +0000 2026,15,3,2,cancellation_search
2030353199043895523,cancelled after,vaccoin,CS2 Vaccoin,Who got a Match Cancelled by VacNet Anti-Cheat after detecting irregular gameplay on Counter-Strike 2 ❓ https://t.co/bfCOyeZKsK,Sat Mar 07 18:41:39 +0000 2026,6,1,2,cancellation_search
1879045365741346976,cancelled after,FlagBlack007,BLACK FLAG 💨🏴🇺🇸,👀👂🏾READING RAINBOW CANCELED BECAUSE OF 'NO CHILD LEFT BEHIND. Thoughts 💭 ⁉️ https://t.co/gBHH5s92eR,Tue Jan 14 05:58:20 +0000 2025,1302,439,19,cancellation_search
2030386668386341022,cancelled after,daysmillcr,🌾,You know that other other other show you like? It’s likely canceled because it wasn’t promoted and there’s no news about another season 😭,Sat Mar 07 20:54:39 +0000 2026,0,0,0,cancellation_search
1237812116494704640,cancelled after,jaycgeeofficial,Jaycgee,They canceled the show 😭 WHYD THEY WAIT TIL THE LAST MINUTE??????,Wed Mar 11 18:46:20 +0000 2020,315,3,18,cancellation_search
2028909116953968687,cancelled after,rriverrgrace,jordan ❤️,event canceled tonight when i was actually excited to go https://t.co/8GmDjiUd4F,Tue Mar 03 19:03:23 +0000 2026,1,0,1,cancellation_search
2030000333716341174,cancelled after,LivEchonews,Liverpool Echo,Paddy the Baddy 'stuck' in the Maldives after flights cancelled https://t.co/dkk4Ppj3tz,Fri Mar 06 19:19:29 +0000 2026,1,0,4,cancellation_search
1555600369035579393,cancelled after,knight_fury29,Knight,@GayBoiFart @VoughtIntl Sadly it was cancelled due to poor ratings ☹️,Fri Aug 05 17:03:24 +0000 2022,1145,0,7,cancellation_search
